product_name,5_stars,4_stars,3_stars,2_stars,1_stars,additional_information,url
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, King (U.K. Standard))",0%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLK76WF
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Single)",0%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLKS13B
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 15cm Deep Comfort Foam Mattress, Small Double)",0%,0%,0%,0%,0%,Size Name: Small DoubleStyle Name: With 15cm Deep Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLLF167
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Spring Comfort Foam Mattress, Double)",0%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 20cm Deep Pocket Spring Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLKC5DS
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Spring Comfort Foam Mattress, King (U.K. Standard))",0%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 20cm Deep Pocket Spring Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLLN94D
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Spring Comfort Foam Mattress, Single)",0%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 20cm Deep Pocket Spring Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLK16ZS
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 20cm Deep Pocket Spring Comfort Foam Mattress, Small Double)",0%,0%,0%,0%,0%,Size Name: Small DoubleStyle Name: With 20cm Deep Pocket Spring Comfort Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLL1RZT
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Spring Memory Foam Mattress, Double)",0%,0%,0%,0%,0%,Size Name: DoubleStyle Name: With 25cm Deep Pocket Spring Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLL7GRZ
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Spring Memory Foam Mattress, King (U.K. Standard))",0%,0%,0%,0%,0%,Size Name: King (U.K. Standard)Style Name: With 25cm Deep Pocket Spring Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLKJ347
"SlumberWorx TEWIN VINTAGE HOSPITAL STYLE BLACK METAL BED FRAME - SINGLE/SMALL DOUBLE/DOUBLE/KING SIZE WITH MATTRESS OPTIONS (With 25cm Deep Pocket Spring Memory Foam Mattress, Single)",0%,0%,0%,0%,0%,Size Name: SingleStyle Name: With 25cm Deep Pocket Spring Memory Foam Mattress,https://www.amazon.co.uk/product-reviews/B0CCLJQT6J
